height,ir
34,2480
34,2482
34,2480
34,2480
34,2480
34,2478
34,2480
34,2478
34,2481
34,2478
34,2480
34,2480
34,2479
